37351/37425/37436/74175/81891/113646/113657/127871/128295/128712/134284/135965/136592/136594/145076/147932/147933/148619/148624/149012/150505/154481/154481,3/7/0/11/0
48089/76349/79426/87563/87564/99252/99269/104601/113962/123933/130501/131906/136989/138813/138814/139311/139316/139686/139793,2/1/0/13/0
106609/127766,0/0/0/1/0
49841/74759,0/0/0/1/0
54932/54944,0/0/0/0/0
46353,1/0/0/0/0
49317/64252,0/0/0/0/0
0,0/0/0/0/0
91486/94848,1/0/0/0/0
0,0/0/0/0/0
65852/65853/70259,3/0/0/0/0
0,0/0/0/0/0
0,0/0/0/0/0
0,0/0/0/0/0
0,0/0/0/0/0
73836,0/0/0/1/0
73302/73784/109317/113270/122243/122487/126965/129261/130339,2/3/0/2/0
85692/96668/107242/113205,1/0/0/2/0
38849,0/0/0/1/0
52310/52310/52312,0/0/0/3/0
0,0/0/0/0/0
64103/76727,1/0/0/0/0
62077/72211,0/1/0/1/0
59937/72572,1/0/0/0/0
39837,0/0/0/1/0
0,0/0/0/0/0
0,0/0/0/0/0
0,0/0/0/0/0
113651/115225/115751,0/0/0/2/0
0,0/0/0/0/0
36824/38923/66095/88021/89368/89368/98577/106158/106173,4/1/0/4/0
0,0/0/0/0/0
78688/78702/93257/93258/93275/93276/97937/109182/123562/124024,1/0/0/8/0
0,0/0/0/0/0
54657,0/0/0/0/0
58096,0/1/0/0/0
0,0/0/0/0/0
0,0/0/0/0/0
0,0/0/0/0/0
99482/99495/116146,0/1/0/1/0
0,0/0/0/0/0
76973,0/0/0/1/0
61017/80079/81590/97941/105200,0/0/0/5/0
137395/138655/138946/138956/146236/148591/148598/151286,4/1/0/2/0
65596,0/0/0/1/0
47211,0/0/0/1/0
0,0/0/0/0/0
43029/43096/45134/45170/62531/67141/73093/80695/81605/86381/86383/86975/90295/90655/94205/94206/102606/103068/106658/106679/107769/109994/110340/114671/115364/119991/120013/121757/122750/123060/123157/123157/123158/124227,17/7/0/5/0
0,0/0/0/0/0
51900/61552,2/0/0/0/0
48849,0/1/0/0/0
24377/44751/64730/72345/81844/91218/92230/96443/99319/99323/99346/99580/101667/101667/101669/105742/105745/107077/107081/107847/109312,7/6/0/2/0
26384,0/0/0/1/0
49475/80068/85783/85784,0/0/0/4/0
0,0/0/0/0/0
36917/67852/88255/97937,0/0/0/3/0
81252,0/0/0/0/0
22925/92086/94554/140145/143460,0/1/0/4/0
66240,0/1/0/0/0
0,0/0/0/0/0
27279/27363,0/0/0/0/0
44559/57222,0/0/0/2/0
0,0/0/0/0/0
34165/34166/34209/40363/53288,0/3/0/0/0
0,0/0/0/0/0
40031/40033/65184/65184,0/0/0/4/0
86721/88817,0/1/0/0/0
0,0/0/0/0/0
0,0/0/0/0/0
0,0/0/0/0/0
72010/72017,0/0/0/2/0
0,0/0/0/0/0
0,0/0/0/0/0
0,0/0/0/0/0
33802/64821/67804/93520/94878,2/1/0/1/0
0,0/0/0/0/0
87694,0/0/0/1/0
59654,0/0/0/1/0
0,0/0/0/0/0
51904,0/0/0/0/0
97109/97136/97153/99608,3/0/0/0/0
0,0/0/0/0/0
0,0/0/0/0/0
0,0/0/0/0/0
64851,0/0/0/1/0
0,0/0/0/0/0
0,0/0/0/0/0
22657/102665/105746/105755,2/0/0/2/0
56627/67623/97807/97942,0/0/0/4/0
45374,0/0/0/1/0
0,0/0/0/0/0
67820/69290/85310/94473/95985/111956/111958/113266/113813,3/2/0/0/0
92884/92889/99333/104395/106108/115934/121673,0/5/0/1/0
0,0/0/0/0/0
45089/55836/59979/63805/63806/63972/69724/69726/72074/72077/75490/77083/90556,5/4/0/1/0
37103/37657,1/0/0/0/0
51499/66973/78378/78451/78451/85131/85791/86244,4/3/0/0/0
51182/93113/93114/98881/110002,0/2/0/2/0
0,0/0/0/0/0
23474/23499/57710/65542/65543,0/0/0/5/0
0,0/0/0/0/0
86432/97399/101972,1/1/0/1/0
0,0/0/0/0/0
